dias;S;I;R;N
350;465.75608596577615;542.821644698135;-8.577730663909449;1000.0000000000016
351;-292.71136787054957;1073.1288411628893;219.5825267076616;1000.0000000000014
352;649.6396651238316;414.38623196602873;-64.02589708985886;1000.0000000000015
353;-157.96553377518035;978.7192518895623;179.2462818856195;1000.0000000000015
354;305.8461933471594;654.6855401890056;39.46826646383656;1000.0000000000015
355;-294.85304757154887;1074.875537690087;219.97750988146356;1000.0000000000017
356;655.9379365725392;410.22677084046825;-66.164707413006;1000.0000000000014
357;-151.31196820319872;974.2959950459272;177.01597315727298;1000.0000000000014
358;290.95596566548085;665.327289101221;43.71674523329955;1000.0000000000015
359;-289.7868659866461;1071.5753946757084;218.21147131093923;1000.0000000000016
360;641.7985598877847;420.35792441072965;-62.15648429851282;1000.0000000000016
361;-167.556771684889;985.9268902285038;181.62988145638667;1000.0000000000015
362;328.0394088471411;639.6583058989618;32.302285253898646;1000.0000000000015
363;-301.45998874663644;1079.9589464759922;221.5010422706458;1000.0000000000016
364;675.2332468078095;397.1872320218399;-72.42047882964786;1000.0000000000014
